scene_file_name,question,answer,answer_pred,time,distance
jtcxE69GiFV,"What is the total count of toilets visible across all bathrooms shown in the floor? Answer format: Select one: [0, 1, 2, 3, 4, 5, 6, 7, 8+], e.g., 0",4,0.,7.9461870193481445,17.149478692423905
jtcxE69GiFV,"How many of the visited bedrooms are shown to have a directly attached en-suite bathroom? Answer format: Select one: [0, 1, 2, 3, 4, 5, 6+], e.g., 0",4,0,11.708650827407837,14.691350329529847
jtcxE69GiFV,"In which room is the fireplace located? Answer format: Select one from each category: ROOM: [master bedroom, master bathroom, master closet, hallway, sitting area, pink bedroom, nursery, red bedroom] POSITION: [center of wall, between two seating areas, corner of room, next to a window, inside a cabinet, under a TV, built into a central island, flanking the bed] NEARBY_OBJECT: [bed, desk, built-in shelving, bathtub, sofa, window seat, central island, dressing table], e.g., ROOM: master bedroom, POSITION: center of wall, NEARBY_OBJECT: bed","ROOM: master closet, POSITION: between two seating areas, NEARBY_OBJECT: built-in shelving",master bedroom,4.577989339828491,7.249996864177365
jtcxE69GiFV,"Describe the properties of the bathtub in the master bathroom. Answer format: Select one from each category: TYPE: [freestanding clawfoot, built-in alcove, drop-in with deck, corner jacuzzi, shower-tub combo, walk-in tub, pedestal tub, soaking tub] EXTERIOR_COLOR: [white, black, silver/gray, gold, bronze, beige, chrome, copper] INTERIOR_COLOR: [white, black, beige, gray, blue, green, pink, cream], e.g., TYPE: freestanding clawfoot, EXTERIOR_COLOR: white, INTERIOR_COLOR: white","TYPE: freestanding clawfoot, EXTERIOR_COLOR: silver/gray, INTERIOR_COLOR: white","TYPE: freestanding clawfoot, EXTERIOR_COLOR: white, INTERIOR_COLOR: white",4.570593595504761,3.75002211691102
jtcxE69GiFV,"How many separate beds are shown in the bedroom with the purple carpet and pink damask wallpaper? Answer format: Select one: [0, 1, 2, 3, 4, 5, 6, 7+], e.g., 0",3,0.,17.164802312850952,30.999066013705338
jtcxE69GiFV,"What is the spatial arrangement of the two tufted velvet seating areas in the master closet? Answer format: Select one from each category: RELATION: [facing each other, side-by-side, back-to-back, at a right angle, on opposite sides of, in a single row, stacked, clustered randomly] SEPARATED_BY: [a central island, a fireplace, a doorway, a column, a dresser, a window, a mirror, nothing] LOCATION: [along the main wall, in the center of the room, in separate corners, flanking a window, built into cabinetry, next to the entrance, under a desk, near the island], e.g., RELATION: facing each other, SEPARATED_BY: a central island, LOCATION: along the main wall","RELATION: facing each other, SEPARATED_BY: a fireplace, LOCATION: built into cabinetry","facing each other, SEPARATED_BY a central island, LOCATION along the main wall.",2.6783576011657715,0.5000209844227694
jtcxE69GiFV,"Describe the central island in the master closet. Answer format: Select one from each category: BODY_COLOR: [silver/gray, white, black, brown wood, cherry wood, mirrored, metallic gold, beige] TOP_MATERIAL: [black stone/solid surface, white marble, wood, glass, metal, mirrored, gray quartz, leather] STORAGE_TYPE: [drawers only, cabinets only, open shelves only, drawers and cabinets, drawers and shelves, cabinets and shelves, all three types, no storage], e.g., BODY_COLOR: cherry wood, TOP_MATERIAL: mirrored, STORAGE_TYPE: drawers and shelves","BODY_COLOR: silver/gray, TOP_MATERIAL: black stone/solid surface, STORAGE_TYPE: drawers only","BODY_COLOR: silver/gray, white, black, brown wood, cherry wood, mirrored, metallic gold, beige
TOP_MATERIAL: mirrored
STORAGE_TYPE: drawers and shelves",7.162253141403198,4.763283976747127
jtcxE69GiFV,"Which of the following rooms contain a dedicated desk or vanity table with a chair? Answer format: Select all that apply: [master bedroom, master closet, nursery, red bedroom, pink/purple bedroom, hallway, master bathroom, main sitting area], e.g., master bedroom","master closet, red bedroom, pink/purple bedroom",master bedroom,5.768896579742432,6.160218980025854
jtcxE69GiFV,"Starting from the master bedroom's sitting area, what is the sequence of floor materials encountered on the path to the top of the main staircase? Answer format: Select one option for the entire path: [carpet -> wood, carpet -> tile -> wood, carpet -> wood -> carpet, wood -> carpet, tile -> wood, carpet only, wood only, wood -> tile -> carpet], e.g., wood only",carpet -> wood,carpet only,47.77004313468933,92.27064684764704
jtcxE69GiFV,"Count the number of bedrooms shown based on the primary material of their bed's headboard. Answer format: Select one from each category: UPHOLSTERED_FABRIC: [0, 1, 2, 3, 4, 5+] WOOD: [0, 1, 2, 3, 4, 5+] METAL: [0, 1, 2, 3, 4, 5+] LEATHER: [0, 1, 2, 3, 4, 5+], e.g., UPHOLSTERED_FABRIC: 0, WOOD: 0, METAL: 0, LEATHER: 0","UPHOLSTERED_FABRIC: 4, WOOD: 0, METAL: 0, LEATHER: 0","UPHOLSTERED_FABRIC: 0, WOOD: 0, METAL: 0, LEATHER: 0.",2.817056894302368,2.000020895015802
